Repository;Revision
demo;a112ebd160d3acc20e6766d8550d757a0581797d
integration;fd5b23e8ff35aff3eacf0d20b6910b0257bcced0
integration/csit;8f88f01b9fbbdd2af363a747ecf43b9de15a9b6e
integration/data-provider;a5d76c710471e8c6819a8d5963ee73349a48013c
integration/docker/onap-java11;1a12b2560c0b168c64e1b38a25d8284904b8ef01
integration/docker/onap-python;5fb8770183d2bef14d47124b100dc4dec4ee1999
integration/ietf-actn-tools;2e7a9a57f2610268002badc23748d483b653042e
integration/seccom;687008f10b08ded20cb222d732523fea270b9c8e
integration/simulators/5G-core-nf-simulator;7ee6ee299f53e226663645010b9467860a656c07
integration/simulators/A1-policy-enforcement-simulator;a1408cfc73163ed209049b47098d86e2f94a538a
integration/simulators/core-nssmf-simulator;c3bbe92494ba80d10628dbe102eddaadaac9d421
integration/simulators/nf-simulator;745a7b4c9bc5606a342f5fcb250b606836f73627
integration/simulators/nf-simulator/avcn-manager;0e280f888bcc42909eee1aefe65a5a8b79a7477b
integration/simulators/nf-simulator/netconf-server;c7bd72db1a290848fdad94c2b3688c790b4e778f
integration/simulators/nf-simulator/pm-https-server;98b44a558e1993f0ceafbf22b250ba0975042229
integration/simulators/nf-simulator/ves-client;4ac8f0ad9b5f627697f2d3a67bb47c3315737528
integration/simulators/pnf-simulator;c942281da3cc77db1aee06ef69398fd57b970f31
integration/simulators/ran-nssmf-simulator;220120e53977d6df4eda174dca710320a2bcba8f
integration/simulators/ran-simulator;b395e82cedb969d392fd4a1a2b13cfa8cf64cce7
integration/usecases/A1-policy-enforcement;f29388582dc68a8f1cfdff4aa65f3839e9e1aaac
integration/usecases/A1-policy-enforcement-r-apps;3fc8bbb9080cd637318fb920056f5a51014e5c1f
integration/xtesting;1b5b1a3dc73431c671971a22abd875cd292c1692
oparent;f95bafef87324b634305e1b98cf17838aa998d26
testsuite;898230f3ead89797c4e4f774ccef38f7c23c0b7e
testsuite/cds;b1f769130a6abe8ac67f42fe74b834eb25f33c07
testsuite/cds-mock-odl;4784fbe07e25a6894d6dfccf76f78e8710f20f11
testsuite/cds-mock-server;7db71adaf139e54f2186cfd19d468f5a1123835d
testsuite/cds-mock-ssh;a43ce8950dcc36363c406b1cc4043dc7d623c9f4
testsuite/oom;5809297b562203922c13c843c085049148d78edb
testsuite/python-testing-utils;17d603cf6655198fa61873e4d715889998a92b69
testsuite/pythonsdk-tests;81584955687e053d0697a63131b026fa0eda47c7
testsuite/robot-utils;a67403bdb58cfdfc272801d9c4448a22bd40046d
