Issue-ID;Description
INT-1894;[VMMACRO] Do not use multicloud when running basic_vm_macro
INT-1819;[CLAMP] raise exception in case of Policy or DCAE errors
INT-1842;Remove masspnfsimulator as a git submodule.
TEST-316;Basic VM macro
INT-1822;[CLAMP] Integrate basic_clamp
TEST-315;[SDC] Add a timer before certifying
INT-1822;Nodeport cleanup in basic_cds test
INT-1819;Wait 15 minutes for orchestration requests
INT-1822;Timeout on orchestration requests
INT-1829;[PNF] Extend timer before sending request to simulator
TEST-305;[SDC] Certify only when needed
TEST-303;Remove pvc from pnf simulator helm chart
TEST-302;Remove cert authent in basic_clamp
TEST-299;[SDC] Add manifest to basic packages
INT-1822;Add missing logger for Pnf Scenario
TEST-288;Wrapper for simulators
TEST-288;[TEST] Collect steps cleanup reports
TEST-292;[INT] Catch all onaptests and onapsdk exceptions for scenarios
TEST-280;Consider settings custom exceptions for reporting
TEST-278;Python SDK 7.4.0 compatibility
TEST-277;[TESTS] cleanup tests and remove reference to ubuntu16
TEST-245;PNF simulator CNF instantiation and registation steps
TEST-245;Add basic_pnf entry point
INT-1796;[TESTCASE] fix basic_onboard scenario
TEST-245;[PythonSDK-tests] Add basic_onboard testcase
TEST-279;Fix steps time measurement
