Pod;Memory Usage;Memory Requests;Memory Requests %;Memory Limits;Memory Limits %
onap-portal-cassandra;3.34 GiB;6.2 GiB;53.8%;7.5 GiB;45%
onap-cassandra-2;2.6 GiB;5 GiB;52%;8 GiB;32%
onap-cassandra-0;2.6 GiB;5 GiB;52%;8 GiB;32%
onap-cassandra-1;2.54 GiB;5 GiB;51%;8 GiB;32%
onap-appc;2.46 GiB;4 GiB;62%;8 GiB; 32%
onap-sdnc;2.43 GiB;4 GiB;61%;8 GiB; 30%
onap-policy-mariadb-0;2.4 GiB;1.96 GiB;122%;5.5 GiB;44%
onap-dcae-cloudify-manager;4.7 GiB;2 GiB;233%;4 GiB;115%
onap-awx;1.72 GiB;12 GiB;14%;;
onap-aaf-cass;1.45 GiB;2.5 GiB;58%;3.5 GiB;41.4%
