Issue key;Summary;Created;Contact
REQ-352;Extend ORAN A1 Adapter and add A1 Policy Management;27/May/20 2:21 PM;JohnKeeney
REQ-335;Support for Test Topology Auto Design （NFV Testing Automatic Platform）;27/May/20 3:28 AM;Lei_Huang
REQ-336;Support for Test Environment Auto Deploy（NFV Testing Automatic Platform）;27/May/20 3:37 AM;Lei_Huang
REQ-337;Support for Test Task Auto Execution （NFV Testing Automatic Platform）;27/May/20 3:37 AM;Lei_Huang
REQ-338;Support for Test Result Auto Analysis & Certification （NFV Testing Automatic Platform）;27/May/20 3:38 AM;Lei_Huang
REQ-339;Container Network Function Test Platform (CNTP): OVP 2.0 support and Enable Network Service testing;27/May/20 4:06 AM;mkr1481
REQ-388;Interactive documentation aligned with a deployment;02/Jun/20 7:05 AM;eric.debeau
REQ-329;Guilin-R7 - Support for Intent-based Network;20/May/20 2:29 AM;huangzh
REQ-384;Define and prove the concept of model driven in the context of CPS;28/May/20 1:35 PM;tfinnerty
REQ-334;ETSI-Alignment for Guilin and Honolulu;27/May/20 2:08 AM;byungwoojun
REQ-341;ONAP CNF orchestration - Enhancements;27/May/20 8:15 AM;rajewluk
REQ-353;"xNF License Management, Guilin R7";27/May/20 2:38 PM;tperala
REQ-320;5G Service Modeling in R7;07/May/20 6:01 PM;bencheung
REQ-327;ONAP/3GPP & O-RAN Alignment-Standards Defined Notifications over VES (Guilin);19/May/20 8:43 PM;marge.hillis
REQ-322;Configuration & Persistency Service in R7;07/May/20 6:15 PM;tfinnerty
REQ-321;CMPv2 Enhancements for R7;07/May/20 6:06 PM;baniewsk
REQ-319;PNF PreOnboarding in R7;07/May/20 5:50 PM;bencheung
REQ-417;Epic task for all logging fix tasks;10/Aug/20 12:59 PM;dmizyn
REQ-326;Self Serve Control Loops;11/May/20 4:18 PM;csbford
