image,tag
onap/aaf/aaf_agent,2.1.9-SNAPSHOT-latest
onap/aaf/aaf_cass,2.1.9-SNAPSHOT-latest
onap/aaf/aaf_cm,2.1.9-SNAPSHOT-latest
onap/aaf/aaf_config,2.1.9-SNAPSHOT-latest
onap/aaf/aaf_fs,2.1.9-SNAPSHOT-latest
onap/aaf/aaf_gui,2.1.9-SNAPSHOT-latest
onap/aaf/aaf_hello,2.1.9-SNAPSHOT-latest
onap/aaf/aaf_locate,2.1.9-SNAPSHOT-latest
onap/aaf/aaf_oauth,2.1.9-SNAPSHOT-latest
onap/aaf/aaf_service,2.1.9-SNAPSHOT-latest
onap/aaf/abrmd,4.0.0
onap/aaf/distcenter,4.0.0
onap/aaf/sms,4.0.0
onap/aaf/smsquorumclient,4.0.0
onap/aaf/testcaservice,4.0.0
onap/aai-graphadmin,1.1.0
onap/aai-resources,1.4.0
onap/aai-schema-service,1.0.6
onap/aai-traversal,1.4.1
onap/aai/esr-gui,1.4.0
onap/aai/esr-server,1.4.0
onap/admportal-sdnc-image,1.5-STAGING-latest
onap/appc-cdt-image,1.5.1-SNAPSHOT-latest
onap/appc-image,1.5.1-SNAPSHOT-latest
onap/babel,1.4.2
onap/ccsdk-alpine-image,0.4-STAGING-latest
onap/ccsdk-ansible-server-image,0.4-STAGING-latest
onap/ccsdk-apps-ms-neng,0.4-STAGING-latest
onap/ccsdk-blueprintsprocessor,0.4-STAGING-latest
onap/ccsdk-cds-ui,0.4-STAGING-latest
onap/ccsdk-cds-ui-server,0.4-STAGING-latest
onap/ccsdk-commandexecutor,0.4-STAGING-latest
onap/ccsdk-controllerblueprints,0.4-STAGING-latest
onap/ccsdk-dgbuilder-image,0.4-STAGING-latest
onap/ccsdk-odl-fluorine-alpine-image,0.4-STAGING-latest
onap/ccsdk-odl-fluorine-ubuntu-image,0.4-STAGING-latest
onap/ccsdk-odlsli-alpine-image,0.4-STAGING-latest
onap/ccsdk-odlsli-image,0.4-STAGING-latest
onap/ccsdk-saltstack-server-image,0.4-STAGING-latest
onap/ccsdk-sdclistener,0.4-STAGING-latest
onap/champ,1.4.0
onap/clamp,4.0-STAGING-latest
onap/clamp-dashboard-kibana,4.0-STAGING-latest
onap/clamp-dashboard-logstash,4.0-STAGING-latest
onap/cli,2.0.4
onap/data-router,1.4.0
onap/dcae-be,1.3-STAGING-latest
onap/dcae-dt,1.2-STAGING-latest
onap/dcae-fe,1.3-STAGING-latest
onap/dcae-tools,1.3-STAGING-latest
onap/dcae-tosca-app,1.3-STAGING-latest
onap/dmaap/buscontroller,1.0.23
onap/dmaap/datarouter-node,2.1.0
onap/dmaap/datarouter-prov,2.1.0
onap/dmaap/dmaap-mr,1.1.14
onap/dmaap/kafka111,1.0.1
onap/dmaap/zookeeper,6.0.0
onap/externalapi/nbi,4.0.0
onap/fproxy,2.1-STAGING-latest
onap/gizmo,1.4.0
onap/holmes/engine-management,1.2.5-STAGING-latest
onap/holmes/rule-management,1.2.6-STAGING-latest
onap/model-loader,1.4.0
onap/modeling/genericparser,1.0.2-STAGING-latest
onap/msb/msb_apigateway,1.2.5-STAGING-latest
onap/msb/msb_discovery,1.2.5-STAGING-latest
onap/multicloud/azure,1.2.1
onap/multicloud/framework,1.3.2-STAGING
onap/multicloud/k8s,0.1.0
onap/multicloud/openstack-fcaps,1.3.4-STAGING
onap/multicloud/openstack-lenovo,1.3.4-STAGING
onap/multicloud/openstack-ocata,1.3.4-STAGING
onap/multicloud/openstack-pike,1.3.4-STAGING
onap/multicloud/openstack-starlingx,1.3.4-STAGING
onap/multicloud/openstack-windriver,1.3.4-STAGING
onap/multicloud/vio,1.3.2-STAGING
onap/music/cassandra_3_11,3.0.24
onap/music/cassandra_job,3.0.24
onap/music/cassandra_music,3.0.0
onap/music/music,3.0.24
onap/music/prom,1.0.5
onap/network-discovery,1.5.1
onap/oom/kube2msb,1.1.0
onap/optf-cmso-dbinit,latest
onap/optf-cmso-service,latest
onap/optf-has,1.3.0
onap/optf-osdf,1.3.0
onap/org.onap.dcaegen2.analytics.tca-gen2.dcae-analytics-tca-web,3.0.0-SNAPSHOT
onap/org.onap.dcaegen2.collectors.datafile.datafile-app-server,1.1.3
onap/org.onap.dcaegen2.collectors.hv-ves.hv-collector-main,1.1.0
onap/org.onap.dcaegen2.collectors.restconfcollector,1.1.1
onap/org.onap.dcaegen2.collectors.snmptrap,1.4-STAGING-latest
onap/org.onap.dcaegen2.collectors.ves.vescollector,1.4.4
onap/org.onap.dcaegen2.deployments.bootstrap,1.1.3
onap/org.onap.dcaegen2.deployments.cm-container,1.6.2
onap/org.onap.dcaegen2.deployments.consul-loader-container,1.0-STAGING-latest
onap/org.onap.dcaegen2.deployments.healthcheck-container,1.2.4
onap/org.onap.dcaegen2.deployments.k8s-bootstrap-container,1.4.18
onap/org.onap.dcaegen2.deployments.multisite-init-container,1.0.0
onap/org.onap.dcaegen2.deployments.redis-cluster-container,1.0-STAGING-latest
onap/org.onap.dcaegen2.deployments.tca-cdap-container,1.1.2
onap/org.onap.dcaegen2.deployments.tls-init-container,1.0.3
onap/org.onap.dcaegen2.platform.configbinding.app-app,2.3.0
onap/org.onap.dcaegen2.platform.deployment-handler,4.0.1
onap/org.onap.dcaegen2.platform.inventory-api,3.2.0
onap/org.onap.dcaegen2.platform.policy-handler,5.0.0
onap/org.onap.dcaegen2.platform.servicechange-handler,1.1.5
onap/org.onap.dcaegen2.services.components.bbs-event-processor,1.0.0
onap/org.onap.dcaegen2.services.heartbeat,2.1.0
onap/org.onap.dcaegen2.services.mapper.vesadapter.universalvesadaptor,1.0.0
onap/org.onap.dcaegen2.services.pm-mapper,1.0.1
onap/org.onap.dcaegen2.services.prh.prh-app-server,1.2.3
onap/org.onap.dcaegen2.services.son-handler,1.0.2
onap/policy-apex-pdp,2.1-SNAPSHOT-latest
onap/policy-api,2.0.1-SNAPSHOT-latest
onap/policy-distribution,2.1.1-SNAPSHOT-latest
onap/policy-pap,2.0.1-SNAPSHOT-latest
onap/policy-pdpd-cl,1.4-SNAPSHOT-latest
onap/policy-pe,1.4-SNAPSHOT-latest
onap/policy-xacml-pdp,2.0.1-SNAPSHOT-latest
onap/pomba-aai-context-builder,1.4.0
onap/pomba-context-aggregator,1.4.0
onap/pomba-network-discovery-context-builder,1.4.0
onap/pomba-sdc-context-builder,1.4.0
onap/pomba-sdnc-context-builder,1.4.0
onap/portal-app,2.5.0
onap/portal-db,2.5.0
onap/portal-sdk,2.5.0
onap/portal-wms,2.5.0
onap/rproxy,2.1-STAGING-latest
onap/sdc-backend,1.4-STAGING-latest
onap/sdc-backend-init,1.4-STAGING-latest
onap/sdc-cassandra,1.4-STAGING-latest
onap/sdc-cassandra-init,1.4-STAGING-latest
onap/sdc-elasticsearch,1.4-STAGING-latest
onap/sdc-frontend,1.4-STAGING-latest
onap/sdc-init-elasticsearch,1.4-STAGING-latest
onap/sdc-kibana,1.4-STAGING-latest
onap/sdc-onboard-backend,1.4-STAGING-latest
onap/sdc-onboard-cassandra-init,1.4-STAGING-latest
onap/sdnc-ansible-server-image,1.5-STAGING-latest
onap/sdnc-dmaap-listener-image,1.5-STAGING-latest
onap/sdnc-image,1.5-STAGING-latest
onap/sdnc-ueb-listener-image,1.5-STAGING-latest
onap/search-data-service,1.4.3
onap/service-decomposition,1.5.1
onap/sniroemulator,1.0.0
onap/so/api-handler-infra,1.4.2-STAGING-latest
onap/so/bpmn-infra,1.4.2-STAGING-latest
onap/so/catalog-db-adapter,1.4.2-STAGING-latest
onap/so/openstack-adapter,1.4.2-STAGING-latest
onap/so/request-db-adapter,1.4.2-STAGING-latest
onap/so/sdc-controller,1.4.2-STAGING-latest
onap/so/sdnc-adapter,1.4.2-STAGING-latest
onap/so/so-monitoring,1.4.2-STAGING-latest
onap/so/vfc-adapter,1.4.2-STAGING-latest
onap/sparky-be,1.4.0
onap/spike,1.4.0
onap/testsuite,1.4.0-STAGING-latest
onap/tproxy-config,2.1-STAGING-latest
onap/usecase-ui,2.0.0-STAGING-latest
onap/usecase-ui-server,2.0.0-STAGING-latest
onap/validation,1.3.1
onap/vfc/catalog,1.3.1-STAGING-latest
onap/vfc/db,1.3.0
onap/vfc/emsdriver,1.3.0
