image,tag
onap/cli,1.1-STAGING-latest
onap/portal-apps,1.3-STAGING-latest
onap/portal-db,1.3-STAGING-latest
onap/portal-wms,1.3-STAGING-latest
onap/policy/policy-db,1.1-STAGING-latest
onap/policy/policy-pe,1.1-STAGING-latest
onap/policy/policy-drools,1.1-STAGING-latest
onap/policy/policy-nexus,1.1-STAGING-latest
onap/ccsdk-odl-image,0.1-STAGING-latest
onap/ccsdk-odlsli-image,0.1-STAGING-latest
onap/ccsdk-dgbuilder-image,0.1-STAGING-latest
onap/sdnc-image,1.2-STAGING-latest
onap/admportal-sdnc-image,1.2-STAGING-latest
onap/holmes/dsa,1.0.0-STAGING-latest
onap/holmes/engine-management,1.0.0-STAGING-latest
onap/holmes/rule-management,1.0.0-STAGING-latest
onap/msb/msb_discovery,1.0.0-STAGING-latest
onap/msb/msb_apigateway,1.0.0-STAGING-latest
onap/oom/kube2msb,1.0.0-STAGING-latest
