groupId,artifactId,version
org.onap.aaf.authz,aaf-auth-batch,2.1.8
org.onap.aaf.authz,aaf-auth-cass,2.1.8
org.onap.aaf.authz,aaf-auth-certman,2.1.8
org.onap.aaf.authz,aaf-auth-client,2.1.8
org.onap.aaf.authz,aaf-auth-cmd,2.1.8
org.onap.aaf.authz,aaf-auth-core,2.1.8
org.onap.aaf.authz,aaf-auth-deforg,2.1.8
org.onap.aaf.authz,aaf-auth-fs,2.1.8
org.onap.aaf.authz,aaf-auth-gui,2.1.8
org.onap.aaf.authz,aaf-auth-hello,2.1.8
org.onap.aaf.authz,aaf-auth-locate,2.1.8
org.onap.aaf.authz,aaf-auth-oauth,2.1.8
org.onap.aaf.authz,aaf-auth-service,2.1.8
org.onap.aaf.authz,aaf-cadi-aaf,2.1.8
org.onap.aaf.authz,aaf-cadi-cass,2.1.8
org.onap.aaf.authz,aaf-cadi-client,2.1.8
org.onap.aaf.authz,aaf-cadi-core,2.1.8
org.onap.aaf.authz,aaf-cadi-oauth-enduser,2.1.8
org.onap.aaf.authz,aaf-cadi-shiro,2.1.8
org.onap.aaf.authz,aaf-misc-env,2.1.8
org.onap.aaf.authz,aaf-misc-log4j,2.1.8
org.onap.aaf.authz,aaf-misc-rosetta,2.1.8
org.onap.aaf.authz,aaf-misc-xgen,2.1.8
org.onap.aaf.authz,aaf-shiro-aafrealm-osgi-bundle,2.1.8
org.onap.aai,rest-client,1.3.0
org.onap.aai,search-data-service,1.3.1
org.onap.aai.aai-common,aai-annotations,1.3.5
org.onap.aai.aai-common,aai-auth,1.3.5
org.onap.aai.aai-common,aai-common,1.3.5
org.onap.aai.aai-common,aai-core,1.3.5
org.onap.aai.aai-common,aai-schema,1.3.5
org.onap.aai.aai-common,aai-utils,1.3.5
org.onap.aai.babel,babel,1.3.3
org.onap.aai.cacher,cacher,1.0.1
org.onap.aai.champ,champ,1.3.1
org.onap.aai.data-router,data-router,1.3.3
org.onap.aai.esr-gui,aai-esr-gui,1.2.2
org.onap.aai.esr-gui,common,1.2.2
org.onap.aai.esr-gui,distribution,1.2.2
org.onap.aai.esr-gui,integration,1.2.2
org.onap.aai.esr-gui,portal,1.2.2
org.onap.aai.esr-server,aai-esr-server,1.2.2
org.onap.aai.esr-server,esr-manager,1.2.2
org.onap.aai.esr-server,standalone,1.2.2
org.onap.aai.event-client,event-client,1.3.2
org.onap.aai.event-client,event-client-api,1.3.2
org.onap.aai.event-client,event-client-dmaap,1.3.2
org.onap.aai.event-client,event-client-kafka,1.3.2
org.onap.aai.gizmo,gizmo,1.3.2
org.onap.aai.graphadmin,graphadmin,1.0.4
org.onap.aai.logging-service,common-logging,1.3.1
org.onap.aai.logging-service,eelf-logging,1.3.1
org.onap.aai.logging-service,logging-api,1.3.1
org.onap.aai.logging-service,logging-service,1.3.1
org.onap.aai.model-loader,model-loader,1.3.2
org.onap.aai.resources,aai-resources,1.3.5
org.onap.aai.resources,resources,1.3.5
org.onap.aai.router-core,router-core,1.3.0
org.onap.aai.sparky-be,sparky-be,1.3.2
org.onap.aai.sparky-fe,sparky-fe,1.3.2
org.onap.aai.spike,spike,1.3.1
org.onap.aai.traversal,aai-traversal,1.3.4
org.onap.aai.traversal,traversal,1.3.4
org.onap.aai.validation,validation,1.3.2
org.onap.appc,appc-aai-client-provider,1.4.4
org.onap.appc,appc-ansible-adapter-bundle,1.4.4
org.onap.appc,appc-artifact-handler-provider,1.4.4
org.onap.appc,appc-chef-adapter-bundle,1.4.4
org.onap.appc,appc-command-executor-api,1.4.4
org.onap.appc,appc-command-executor-core,1.4.4
org.onap.appc,appc-common,1.4.4
org.onap.appc,appc-config-adaptor-provider,1.4.4
org.onap.appc,appc-config-audit-provider,1.4.4
org.onap.appc,appc-config-data-services-provider,1.4.4
org.onap.appc,appc-config-encryption-tool-provider,1.4.4
org.onap.appc,appc-config-flow-controller-provider,1.4.4
org.onap.appc,appc-config-generator-provider,1.4.4
org.onap.appc,appc-config-params-provider,1.4.4
org.onap.appc,appc-data-access-lib,1.4.4
org.onap.appc,appc-design-services-provider,1.4.4
org.onap.appc,appc-dg-aai,1.4.4
org.onap.appc,appc-dg-common,1.4.4
org.onap.appc,appc-dg-license-manager,1.4.4
org.onap.appc,appc-dg-mdsal-store,1.4.4
org.onap.appc,appc-dg-netconf,1.4.4
org.onap.appc,appc-dg-provider,1.4.4
org.onap.appc,appc-dg-ssh,1.4.4
org.onap.appc,appc-dg-util-bundle,1.4.4
org.onap.appc,appc-dmaap-adapter-bundle,1.4.4
org.onap.appc,appc-event-listener-bundle,1.4.4
org.onap.appc,appc-iaas-adapter-bundle,1.4.4
org.onap.appc,appc-license-manager-api,1.4.4
org.onap.appc,appc-license-manager-core,1.4.4
org.onap.appc,appc-lifecycle-management-api,1.4.4
org.onap.appc,appc-lifecycle-management-core,1.4.4
org.onap.appc,appc-message-adapter-api,1.4.4
org.onap.appc,appc-message-adapter-factory,1.4.4
org.onap.appc,appc-metric-bundle,1.4.4
org.onap.appc,appc-netconf-adapter-bundle,1.4.4
org.onap.appc,appc-network-inventory-client-provider,1.4.4
org.onap.appc,appc-oam-bundle,1.4.4
org.onap.appc,appc-provider-bundle,1.4.4
org.onap.appc,appc-ranking-framework-lib,1.4.4
org.onap.appc,appc-request-handler-api,1.4.4
org.onap.appc,appc-request-handler-core,1.4.4
org.onap.appc,appc-rest-adapter-bundle,1.4.4
org.onap.appc,appc-rest-healthcheck-adapter-bundle,1.4.4
org.onap.appc,appc-sdc-listener-bundle,1.4.4
org.onap.appc,appc-sequence-generator-bundle,1.4.4
org.onap.appc,appc-ssh-adapter-api,1.4.4
org.onap.appc,appc-ssh-adapter-sshd,1.4.4
org.onap.appc,appc-ssh-adapter-tests,1.4.4
org.onap.appc,appc-workflow-management-api,1.4.4
org.onap.appc,appc-workflow-management-core,1.4.4
org.onap.appc,appc-yang-generator,1.4.4
org.onap.appc,execution-queue-management-lib,1.4.4
org.onap.appc,lock-manager-api,1.4.4
org.onap.appc,lock-manager-impl,1.4.4
org.onap.appc,state-machine-lib,1.4.4
org.onap.appc,transaction-recorder,1.4.4
org.onap.appc.cdt,cdt-proxy-service,1.4.4
org.onap.appc.cdt,config-design-tool,1.4.4
org.onap.appc.client,client-kit,1.4.4
org.onap.appc.client,client-lib,1.4.4
org.onap.appc.client,client-simulator,1.4.4
org.onap.appc.client,code-generator,1.4.4
org.onap.appc.plugins,dg-loader-provider,1.4.4
org.onap.ccsdk.apps,ccsdk-apps-ms-neng,0.3.3
org.onap.ccsdk.apps,controllerblueprints,0.3.3
org.onap.ccsdk.features,blueprints-assignment-provider,0.3.3
org.onap.ccsdk.features,blueprints-data-adaptor-provider,0.3.3
org.onap.ccsdk.features,blueprints-generator-provider,0.3.3
org.onap.ccsdk.features,blueprints-model-provider,0.3.3
org.onap.ccsdk.features,blueprints-processor-adaptor,0.3.3
org.onap.ccsdk.features,blueprints-processor-plugin,0.3.3
org.onap.ccsdk.features,blueprints-rest-adaptor-processor,0.3.3
org.onap.ccsdk.parent,binding-parent,1.1.3
org.onap.ccsdk.parent,bundle-parent,1.1.3
org.onap.ccsdk.parent,feature-repo-parent,1.1.3
org.onap.ccsdk.parent,karaf4-parent,1.1.3
org.onap.ccsdk.parent,mdsal-it-parent,1.1.3
org.onap.ccsdk.parent,odlparent,1.1.3
org.onap.ccsdk.parent,odlparent-lite,1.1.3
org.onap.ccsdk.parent,single-feature-parent,1.1.3
org.onap.ccsdk.sli.adaptors,aai-service-provider,0.3.3
org.onap.ccsdk.sli.adaptors,mdsal-resource-provider,0.3.3
org.onap.ccsdk.sli.adaptors,resource-assignment-provider,0.3.3
org.onap.ccsdk.sli.adaptors,sql-resource-provider,0.3.3
org.onap.ccsdk.sli.core,dblib-provider,0.3.3
org.onap.ccsdk.sli.core,filters-provider,0.3.3
org.onap.ccsdk.sli.core,sli-common,0.3.3
org.onap.ccsdk.sli.core,sli-provider,0.3.3
org.onap.ccsdk.sli.core,sli-recording,0.3.3
org.onap.ccsdk.sli.core,sliPluginUtils-provider,0.3.3
org.onap.ccsdk.sli.core,sliapi-provider,0.3.3
org.onap.ccsdk.sli.core,utils-provider,0.3.3
org.onap.ccsdk.sli.northbound,asdcApi-provider,0.3.3
org.onap.ccsdk.sli.northbound,dataChange-provider,0.3.3
org.onap.ccsdk.sli.northbound,dmaap-listener,0.3.3
org.onap.ccsdk.sli.northbound,lcm-provider,0.3.3
org.onap.ccsdk.sli.northbound,ueb-listener,0.3.3
org.onap.ccsdk.sli.plugins,fabric-discovery-plugin-provider,0.3.3
org.onap.ccsdk.sli.plugins,properties-node-provider,0.3.3
org.onap.ccsdk.sli.plugins,restapi-call-node-provider,0.3.3
org.onap.ccsdk.storage.pgaas,pgaas,1.0.0
org.onap.ccsdk.utils,utils,1.0.0
org.onap.clamp.clds.clamp,clamp,3.0.3
org.onap.cli,cli-framework,2.0.4
org.onap.cli,cli-main,2.0.4
org.onap.cli,cli-plugins-sample,2.0.4
org.onap.cli,cli-profiles-command,2.0.4
org.onap.cli,cli-profiles-http,2.0.4
org.onap.cli,cli-profiles-snmp,2.0.4
org.onap.cli,cli-sample-mock-generator,2.0.4
org.onap.cli,cli-sample-yaml-generator,2.0.4
org.onap.cli,cli-validation,2.0.4
org.onap.cli,cli-zip,2.0.4
org.onap.dcaegen2,dcaegen2,1.1.0
org.onap.dcaegen2.analytics.tca,dcae-analytics,2.2.0
org.onap.dcaegen2.analytics.tca,dcae-analytics-aai,2.2.0
